EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9287649,74.9177266,9,833067,1716229800000,1716279108000
EQPT-4,12.9286783,74.91771,6,833074,1716229800000,1716279113000
EQPT-4,12.928665,74.917725,6,833074,1716229800000,1716279114000
EQPT-4,12.9286683,74.9178183,6,833086,1716229800000,1716279155000
EQPT-4,12.9286866,74.9178199,7,833086,1716229800000,1716279156000
EQPT-4,12.9289083,74.9178566,20,833113,1716229800000,1716279163000
EQPT-4,12.9296216,74.9179433,30,833193,1716229800000,1716279174000
EQPT-4,12.9305899,74.918065,36,833301,1716229800000,1716279185000
EQPT-4,12.9314916,74.9181333,41,833402,1716229800000,1716279194000
EQPT-4,12.9324283,74.9182583,41,833507,1716229800000,1716279203000
EQPT-4,12.9333566,74.9183516,42,833611,1716229800000,1716279212000
EQPT-4,12.9335716,74.9183716,40,833635,1716229800000,1716279214000
EQPT-4,12.93374,74.9184483,41,833655,1716229800000,1716279216000
EQPT-4,12.9338216,74.9185116,43,833666,1716229800000,1716279217000
EQPT-4,12.9339249,74.9187183,44,833679,1716229800000,1716279219000
EQPT-4,12.9341516,74.9191166,43,833742,1716229800000,1716279223000
EQPT-4,12.9343283,74.9196799,46,833806,1716229800000,1716279228000
EQPT-4,12.9344699,74.9203916,45,833885,1716229800000,1716279235000
EQPT-4,12.9345166,74.9214233,42,833997,1716229800000,1716279244000
EQPT-4,12.9345516,74.9217,31,834028,1716229800000,1716279247000
EQPT-4,12.9346216,74.9224383,36,834108,1716229800000,1716279256000
EQPT-4,12.9349566,74.9233916,39,834207,1716229800000,1716279265000
EQPT-4,12.935305,74.92426,40,834310,1716229800000,1716279274000
EQPT-4,12.935715,74.9251133,42,834423,1716229800000,1716279284000
EQPT-4,12.9361966,74.925985,35,834532,1716229800000,1716279293000
EQPT-4,12.936365,74.9261833,31,834568,1716229800000,1716279296000
EQPT-4,12.9364649,74.9262733,21,834575,1716229800000,1716279298000
